Title,Author(s),Publisher,Publish Year,ISBN,OL Work Key,Page Count,Categories,Description,Cover Image
The Black wing,Mary Kirchoff,,1993,,https://openlibrary.org/works/OL7970898W,782,Encyclopedias and dictionaries,,http://books.google.com/books/content?id=zkJRAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Emperor of Ansalon,Not Found,Not Found,Not Found,Not Found,Not Found,,,,
The swordsheath scroll,Dan Parkinson,Wizards of the Coast,1993,,https://openlibrary.org/works/OL4323285W,275,Fiction,"The final volume in the Dwarven Nations trilogy reveals the origin story of Derkin, King of Living Stone—the legendary dwarven leader Despite the stubborn courage of dwarven warriors, the protracted Wilderness War ends as a no-win. The Swordsheath Scroll is signed, and Thorbardin shows its support of the open-minded Qualinesti elves by joining in the construction of Pax Tharkas, a magnificent fortress and a symbol of peace. Meanwhile, the Mountain Dwarves await the coming of a king who will restore them to their former glory. When a new leader emerges from their midst, it seems the prophecy has been fulfilled and a victory over the Ergothians is no longer a futile hope. He is Derkin, the King of Living Stone—a hero whose bravery and wisdom will be written in the dwarven annals and whose name will become the “throne name” of all future dwarven kings.",http://books.google.com/books/content?id=bi-n2uvv0swC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Hederick the Theocrat,Ellen Dodg Severson,Wizards of the Coast,1994-01-01,,https://openlibrary.org/works/OL8860382W,310,Fiction,"Hederick, leader of the Seeker religion in Solace and self-ordained conscience of Krynn, embarks on a terrifying inquisition that threatens all who follow magic and the true gods and allows the forces of evil into the world. Original. 75,000 first printing.",http://books.google.com/books/content?id=BYaJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Second Generation,David Graham Phillips,Wizards of the Coast,1907,,https://openlibrary.org/works/OL29333W,463,Fiction,"Years have passed since the end of the War of the Lance. The people of Ansalon have rebuilt their lives, their houses, their families. The Companions of the Lance, too, have returned to their homes, raising children and putting the days of their heroic deeds behind them. But peace on Krynn comes at a price. The forces of darkness are ever vigilant, searching for ways to erode the balance of power and take control. When subtle changes begin to permeate the fragile peace, new lives are drawn into the web of fate woven around all the races. The time has come to pass the sword -- or the staff -- to the children of the Lance. They are the Second Generation.",http://books.google.com/books/content?id=oKNP-Citj6cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Dragons of Krynn,Margaret Weis,,1994,,https://openlibrary.org/works/OL15108456W,390,English fiction Short stories,"A collection of short stories--by Douglas Niles, Kevin Stein, Nancy Varian Berberick, and others--continues the adventures and exploits of the dragon denizens of Krynn.",
Night of the eye,Mary L. Kirchoff,Wizards of the Coast,1994,,https://openlibrary.org/works/OL16013708W,274,Fiction,"The first book in an exciting Dragonlance trilogy that explores the many secrets of sorcery in the world of Krynn It will soon be the Night of the Eye, a rare time when all three moons align in high sanction over the lands of Krynn. On the eve of Guerrand DiThon's political marriage to a rival family, the young noble is visited by a strange, powerful mage who knows more about him than he does himself. Seduced by promises of wizardly might, Guerrand slips away beneath the triple moons and journeys for the Tower of Wayreth. No one thinks he will survive the deadly trek to the tower, but he does. It's only then that Guerrand realizes that he has made many enemies in his journey. One of these foes would not only see Guerrand dead, but the three orders of sorcery destroyed with him.",http://books.google.com/books/content?id=RJrcStYWF9IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Lord Toede,Jeff Grubb,,1994,,https://openlibrary.org/works/OL5059148W,313,,,
The Medusa plague,Mary Kirchoff,Wizards of the Coast,1994,,https://openlibrary.org/works/OL7970906W,263,Fiction,"With the onslaught of a vicious plague, the fate of a Thonvil town rests in the hands of the man its villagers have scorned: Guerrand DiThon The name Guerrand DiThon has been cursed by his family since the day he disappeared. When a mysterious plague strikes their beleaguered village, Guerrand's name is invoked again—as the cause of the disaster. Bram DiThon, Guerrand's nephew, is more like his uncle than the family would care to admit. A skilled herbalist, Bram has unknowingly turned his skills toward magic. It is to Bram the villagers turn when the plague changes their eyes to onyx, their limbs to snakes, and their flesh to stone. Unable to stop the unexplainable deaths, Bram sets out to find his missing uncle. He learns that Guerrand is the High Defender of Bastion, the last stronghold before the Lost Citadel. But in finding him, Bram has unwittingly given an evil mage—once Guerrand's friend, now his archenemy—the key to destroy the three orders of sorcery.",http://books.google.com/books/content?id=ydMdXwmdfzwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The dark queen,Michael Williams,Ballantine Books,1994,,https://openlibrary.org/works/OL4652723W,546,Fiction,"From Brittany’s misty shores to the decadent splendor of Paris’s royal court, one woman must fulfill her destiny–while facing the treacherous designs of Catherine de Medici, the dark queen. She is Ariane, the Lady of Faire Isle, one of the Cheney sisters, renowned for their mystical skills and for keeping the isle secure and prosperous. But this is a time when women of ability are deemed sorceresses, when Renaissance France is torn by ruthless political intrigues, and all are held in thrall to the sinister ambitions of Queen Catherine de Medici. Then a wounded stranger arrives on Faire Isle, bearing a secret the Dark Queen will do everything in her power to possess. The only person Ariane can turn to is the comte de Renard, a nobleman with fiery determination and a past as mysterious as his own unusual gifts. Riveting, vibrant, and breathtaking, The Dark Queen follows Ariane and Renard as they risk everything to prevent the fulfillment of a dreadful prophecy–even if they must tempt fate and their own passions.",http://books.google.com/books/content?id=C3OODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Kagonesti,Douglas Niles,Wizards of the Coast,1995,,https://openlibrary.org/works/OL1635433W,324,Fiction,"Fantasy. The Wild Elves, a peaceful tribe in the midst of the other hostile races of Krynn, find their harmonious lifestyle threatened by the turbulent War of the Lance, and must overcome the tyrannical forces that would enslave them.",http://books.google.com/books/content?id=YFJyF5osCOwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Knights of the crown,Roland Green,Boydell Press,1995,,https://openlibrary.org/works/OL18167640W,686,History,"A significant contribution to the history of the political life and culture of the later medieval aristocracy. MAURICE KEEN Orders of lay knights - the most famous of which are those of the Garter and the Golden Fleece - were founded at some time between 1325 and 1470 in almost every kingdom of Western Christendom, and played an important part in the life of the court. Jonathan Boulton defines the ""monarchical"" orders as those with corporate statutes which attached the presidential office to the crown of the princely founder, or made it hereditary in his house. Modelled eitherdirectly or indirectly on the fictional society of the Round Table, they incorporated varying numbers of elements borrowed from the older religious orders of knighthood and from contemporary institutions. This study explores the nature and history of thirteen orders, and reveals them as not only an ingenious supplement to (or replacement for) the feudo-vassalic ties that still bound the leading members of the nobility to their sovereign, but also as the most important institutional embodiments of the secular ideals of chivalry that were at the heart of the international court culture of the age. JONATHAN BOULTON teaches at the University of Notre Dame.",http://books.google.com/books/content?id=Pv1RUpw5ss4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Irda,Linda P. Baker,Wizards of the Coast,1995,,https://openlibrary.org/works/OL15892953W,313,Fiction,"The second installment in the Lost Histories series sheds light on the legendary origins of the mysterious race of the Irda Given life by gods, the Ogres were the most intelligent and beautiful of the early races on Krynn, and they reigned supreme in their perfect kingdom. But the fabled race was weakened by clan rivalries and evil ambition, their downfall orchestrated by the hand of the Dark Queen, Takhisis. The once resplendent Ogres were cursed by their own mistakes and transformed into one of Krynn's most ugly, despised, and villainous species. All succumbed to this miserable fate, but the Irda—a small group who learned to accept goodness and to fight for their freedom. Escaping from their previous home, the Irda set out to build a utopian civilization of their own on a paradise island in the Dragon Isles.",http://books.google.com/books/content?id=dMyZAD3mKWMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
